id,physicalringname,lrname,aendname,bendname,distance,ibclink,priority,aendid,bendid,aendifIndex,bendifIndex,bendip,aendip,physicalsegments,remarks,confirmed,user_name,time_stamp,cluster_name,district_name,block_name
874,BERLA_Blue,Ring no.01,BERLA,BORIYA,8.219,,Low,2511.0,2518.0,14,13,10.128.17.19,10.128.0.16,102,,0,,,A2,BEMETARA,BERLA
877,BERLA_Blue,Ring no.01,GHATIYAKALA,GODGIRI,4.23,,Low,2581.0,2602.0,14,13,10.128.17.34,10.128.17.32,105,,0,,,A2,BEMETARA,BERLA
878,BERLA_Blue,Ring no.01,GODGIRI,GADAMOR,4.38,,Low,2602.0,2559.0,14,13,10.128.17.31,10.128.17.34,108,,0,,,A2,BEMETARA,BERLA
879,BERLA_Blue,Ring no.01,GADAMOR,KOHDIYA,6.138,,Low,2559.0,2696.0,14,13,10.128.17.53,10.128.17.31,114,,0,,,A2,BEMETARA,BERLA
880,BERLA_Blue,Ring no.01,KOHDIYA,GUDHELI,2.392,,Low,2696.0,2613.0,14,13,10.128.17.35,10.128.17.53,113,,0,,,A2,BEMETARA,BERLA
881,BERLA_Blue,Ring no.01,GUDHELI,BERLAKALA,5.16,,Low,2613.0,2531.0,14,13,10.128.17.9,10.128.17.35,112,,0,,,A2,BEMETARA,BERLA
882,BERLA_Blue,Ring no.01,BERLAKALA,DHABA,21.82,,Low,2531.0,2543.0,14,13,10.128.17.29,10.128.17.9,"115,116,117,118,132",,0,,,A2,BEMETARA,BERLA
883,BERLA_Blue,Ring no.01,DHABA,KUMHI,23.81,,Low,2543.0,2584.0,14,13,10.128.17.88,10.128.17.29,"121,122,123,124,125,126",,0,,,A2,BEMETARA,BERLA
884,BERLA_Blue,Ring no.01,KUMHI,BERLA,11.7,,Low,2584.0,2511.0,14,13,10.128.0.16,10.128.17.88,"127,128,129,130",,0,,,A2,Bemetara,Berla
885,BERLA_Blue,Ring no.02,BERLA,TILAI,14.15,,Low,2511.0,2647.0,14,13,10.128.17.84,10.128.0.16,"102,135",,0,,,A2,BEMETARA,BERLA
886,BERLA_Blue,Ring no.02,TILAI,KANDARKA,23.767,,Low,2647.0,2633.0,14,13,10.128.17.41,10.128.17.84,"106,108,112,113,114,115",,0,,,A2,BEMETARA,BERLA
887,BERLA_Blue,Ring no.02,KANDARKA,BHALESHAR,3.865,,Low,2633.0,2475.0,14,13,10.128.17.10,10.128.17.41,116,,0,,,A2,BEMETARA,BERLA
892,BERLA_Blue,Ring no.02,BHARDA,KHARRA,15.985,,Low,2498.0,2704.0,14,13,10.128.17.46,10.128.17.13,"124,125,126,127",,0,,,A2,BEMETARA,BERLA
893,BERLA_Blue,Ring no.02,KHARRA,KUSMI,4.395,,Low,2704.0,2684.0,14,13,10.128.17.56,10.128.17.46,128,,0,,,A2,BEMETARA,BERLA
894,BERLA_Blue,Ring no.02,KUSMI,BERLA,5.22,,Low,2684.0,2511.0,14,13,10.128.0.16,10.128.17.56,"129,130",,0,,,A2,BEMETARA,BERLA
895,BERLA_Blue,Ring no.03,BERLA,UFARA,30.57,,Low,2511.0,2590.0,14,13,10.128.17.85,10.128.0.16,,,0,,,A2,BEMETARA,BERLA
896,BERLA_Blue,Ring no.03,UFARA,BORSI,3.45,,Low,2590.0,2530.0,14,13,10.128.17.20,10.128.17.85,,,0,,,A2,BEMETARA,BERLA
897,BERLA_Blue,Ring no.03,BORSI,SILGHATT,30.025,,Low,2530.0,2655.0,14,13,10.128.17.73,10.128.17.20,"111,115,116,117,118,132,121",,0,,,A2,BEMETARA,BERLA
898,BERLA_Blue,Ring no.03,SILGHATT,LAWATARA,4.655,,Low,2655.0,2576.0,14,13,10.128.17.89,10.128.17.73,122,,0,,,A2,BEMETARA,BERLA
899,BERLA_Blue,Ring no.03,LAWATARA,MUDPAR KALAN,6.455,,Low,2576.0,2522.0,14,13,10.128.17.90,10.128.17.89,"123,124",,0,,,A2,Bemetara,Berla
900,BERLA_Blue,Ring no.03,MUDPAR KALAN,BARGAON,7.31,,Low,2522.0,2664.0,14,13,10.128.17.7,10.128.17.90,125,,0,,,A2,BEMETARA,BERLA
901,BERLA_Blue,Ring no.03,BARGAON,BHAND,12.345,,Low,2664.0,2486.0,14,13,10.128.17.11,10.128.17.7,"126,127,128,129",,0,,,A2,BEMETARA,BERLA
902,BERLA_Blue,Ring no.03,BHAND,BERLA,2.975,,Low,2486.0,2511.0,14,13,10.128.0.16,10.128.17.11,130,,0,,,A2,BEMETARA,BERLA
970,BERLA_Blue,Ring no.02,PIRDA,BHARDA,0.0,,0,,,14,13,10.128.17.13,10.128.17.65,"132,121,122,123",,0,,,A2,BEMETARA,BERLA
972,BERLA_Blue,Ring no.02,BHALESHAR,HARDI,0.0,,0,,,14,13,10.128.17.36,10.128.17.10,117,,0,,,A2,BEMETARA,BERLA
973,BERLA_Blue,Ring no.02,HARDI,PIRDA,0.0,,0,2626.0,2674.0,14,13,10.128.17.65,10.128.17.36,118,,0,,,A2,BEMETARA,BERLA
975,BERLA_Blue,Ring no.01,BORIYA,GHATIYAKALA,0.0,,0,,,14,13,10.128.17.32,10.128.17.19,,,0,,,A2,BEMETARA,BERLA
