ip,devicetype
10.128.138.8,SWITCH
10.128.138.9,SWITCH
10.128.138.10,SWITCH
10.128.138.11,SWITCH
10.128.138.12,SWITCH
10.128.138.13,SWITCH
10.128.138.14,SWITCH
10.128.138.15,SWITCH
10.128.130.208,ROUTER
10.128.130.209,ROUTER
10.128.130.196,SWITCH
10.128.130.197,SWITCH
10.128.130.198,SWITCH
10.128.130.199,SWITCH
10.128.141.131,SERVER
10.128.138.41,SWITCH
10.128.138.42,SWITCH
10.128.138.28,FIREWALL
10.128.138.29,FIREWALL
10.128.138.30,IPS
10.128.138.31,IPS
10.128.141.135,SERVER
10.128.141.138,SERVER
10.128.141.137,SERVER
10.128.141.136,SERVER
10.128.141.134,SERVER
10.128.141.133,SERVER
10.128.141.132,SERVER
10.128.138.32,ROUTER
10.128.138.33,ROUTER
10.128.0.26,BLOCK_ROUTER
10.131.0.102,BLOCK_UPS
10.128.28.1,GP_ROUTER
10.131.28.170,GP_UPS
10.128.28.2,GP_ROUTER
10.131.28.174,GP_UPS
10.128.28.4,GP_ROUTER
10.131.28.182,GP_UPS
10.128.28.6,GP_ROUTER
10.131.28.190,GP_UPS
10.128.28.8,GP_ROUTER
10.131.28.198,GP_UPS
10.128.28.11,GP_ROUTER
10.131.28.210,GP_UPS
10.128.28.12,GP_ROUTER
10.128.28.13,GP_ROUTER
10.131.28.218,GP_UPS
10.128.28.14,GP_ROUTER
10.128.28.15,GP_ROUTER
10.131.28.226,GP_UPS
10.128.28.16,GP_ROUTER
10.131.28.230,GP_UPS
10.128.28.17,GP_ROUTER
10.131.28.234,GP_UPS
10.128.28.18,GP_ROUTER
10.131.28.238,GP_UPS
10.128.28.20,GP_ROUTER
10.128.28.22,GP_ROUTER
10.131.28.254,GP_UPS
10.128.28.23,GP_ROUTER
10.131.29.2,GP_UPS
10.131.29.6,GP_UPS
10.128.28.28,GP_ROUTER
10.131.29.22,GP_UPS
10.128.28.29,GP_ROUTER
10.131.29.26,GP_UPS
10.128.28.30,GP_ROUTER
10.131.29.30,GP_UPS
10.131.29.34,GP_UPS
10.128.28.32,GP_ROUTER
10.131.29.38,GP_UPS
10.128.28.34,GP_ROUTER
10.131.29.46,GP_UPS
10.128.28.35,GP_ROUTER
10.131.29.50,GP_UPS
10.128.28.36,GP_ROUTER
10.131.29.54,GP_UPS
10.128.28.38,GP_ROUTER
10.131.29.62,GP_UPS
10.128.28.39,GP_ROUTER
10.131.96.42,GP_UPS
