id,ip,systemname,pingStatus,snmpStatus,devicetype,location,firstDiscovery,lastDiscovery,operatingsystem,physicalAddr,vendor,profile_name,acronym,request_id,dept,deviceloc,state,logtime,serial_no,locationText,sourceOfPower,dashboardcat,enable,mfm
548,10.128.138.8,"""BNA-RPR-SDCT-SSW-001""",UNREACHABLE,DISABLED,SWITCH,223,2023-08-29 12:30:20,2023-12-26 16:59:57," Cisco NX-OS 6.X|5.X (92%), FreeBSD 6.X (85%)",null,,SHQSNOC_V2,-,DISCHOST#26-12-2023 12:04:50#admin,,,DOWN,2024-11-04 12:42:04,,undefined,,SNOC/SDC,1,0
549,10.128.138.9,"""BNA-RPR-SDCT-SSW-002""",UNREACHABLE,DISABLED,SWITCH,224,2023-08-29 12:30:20,2023-12-26 16:59:55," Cisco NX-OS 6.X|5.X (92%), FreeBSD 6.X (86%)",null,,SHQSNOC_V2,-,DISCHOST#26-12-2023 12:04:49#admin,,,DOWN,2024-11-04 12:42:04,,undefined,,SNOC/SDC,1,0
550,10.128.138.10,"""BNA-RPR-SDCT-LSW-001""",UNREACHABLE,DISABLED,SWITCH,203,2023-08-29 12:30:20,2024-05-28 14:31:31," Cisco NX-OS 6.X|5.X (92%), FreeBSD 6.X (86%)",null,,SHQSNOC_V2,-,REDISCHOST#28-05-2024 14:31:26#SNOCteam,,,DOWN,2024-11-04 12:42:04,,,,SNOC/SDC,1,0
551,10.128.138.11,"""BNA-RPR-SDCT-LSW-002""",UNREACHABLE,DISABLED,SWITCH,204,2023-08-29 12:30:20,2023-12-26 17:03:12," Cisco NX-OS 6.X|5.X (92%), FreeBSD 6.X (86%)",null,,SHQSNOC_V2,-,DISCHOST#26-12-2023 12:05:12#admin,,,DOWN,2024-11-04 12:42:04,,,,SNOC/SDC,1,0
552,10.128.138.12,"""BNA-RPR-SDCT-LSW-003""",UNREACHABLE,DISABLED,SWITCH,205,2023-08-29 12:30:20,2023-12-26 17:03:10," Cisco NX-OS 6.X|5.X (92%), FreeBSD 6.X (86%)",null,,SHQSNOC_V2,-,DISCHOST#26-12-2023 12:05:11#admin,,,DOWN,2024-11-04 12:42:04,,,,SNOC/SDC,1,0
553,10.128.138.13,"""BNA-RPR-SDCT-LSW-004""",UNREACHABLE,DISABLED,SWITCH,206,2023-08-29 12:30:20,2023-12-26 17:03:07," Cisco NX-OS 6.X|5.X (92%), FreeBSD 6.X (86%)",null,,SHQSNOC_V2,-,DISCHOST#26-12-2023 12:05:10#admin,,,DOWN,2024-11-04 12:42:04,,,,SNOC/SDC,1,0
554,10.128.138.14,"""BNA-RPR-SDCT-WSW-001""",UNREACHABLE,DISABLED,SWITCH,207,2023-08-29 12:30:20,2023-12-26 17:03:05,null,null,,SHQSNOC_V2,-,DISCHOST#26-12-2023 12:05:09#admin,,,DOWN,2024-11-04 12:42:04,,,,SNOC/SDC,1,0
555,10.128.138.15,"""BNA-RPR-SDCT-WSW-002""",UNREACHABLE,DISABLED,SWITCH,208,2023-08-29 12:30:20,2023-12-26 17:03:03,null,null,,SHQSNOC_V2,-,DISCHOST#26-12-2023 12:05:08#admin,,,DOWN,2024-11-04 12:42:04,,,,SNOC/SDC,1,0
556,10.128.130.208,"""BNA-RPR-SNOC-COR-001.cgbharatnet.gov.in""",UNREACHABLE,DISABLED,ROUTER,230,2023-08-29 12:31:48,2023-12-26 17:04:27,,,CISCO,SHQSNOC_V2,-,DISCHOST#26-12-2023 12:05:18#admin,,,DOWN,2024-11-04 12:42:04,"""CAT2226U4VT""",,,SNOC/SDC,1,0
557,10.128.130.209,"""BNA-RPR-SNOC-COR-002.cgbharatnet.gov.in""",UNREACHABLE,DISABLED,ROUTER,230,2023-08-29 12:31:48,2023-08-29 12:31:48,,,CISCO,SHQSNOC_V2,-,DISCNET#29-08-2023 12:31:28#admin,,,DOWN,2024-11-04 12:42:04,"""CAT2233U2TU""",,,SNOC/SDC,1,0
