id,physicalringname,lrname,aendname,bendname,distance,ibclink,priority,aendid,bendid,aendifIndex,bendifIndex,bendip,aendip,physicalsegments,remarks,confirmed,user_name,time_stamp,cluster_name,district_name,block_name
556,Geedam_Blue,Ring no.01,Gidam,GUMDA,6.035,,High,683.0,1007.0,88,13,10.128.28.15,10.128.0.26,13193,,1,Shiva,2024-12-08 09:30:30,C,Dakshin Bastar Dantewada,Geedam
557,Geedam_Blue,Ring no.01,GUMDA,PHARASPAL,22.595,,Medium,1007.0,1035.0,14,13,10.128.28.34,10.128.28.15,13194,,1,Shiva,2024-12-08 09:33:11,C,Dakshin Bastar Dantewada,Geedam
558,Geedam_Blue,Ring no.01,PHARASPAL,NELASNAR,15.13,,Medium,1035.0,1043.0,14,13,10.128.28.39,10.128.28.34,13197,,1,Shiva,2024-12-08 09:33:44,C,Dakshin Bastar Dantewada,Geedam
559,Geedam_Blue,Ring no.01,NELASNAR,BINJAM,23.573,,Low,1043.0,997.0,14,13,10.128.28.8,10.128.28.39,"13198,13199,13200,13201,13202",,1,Shiva,2024-12-08 09:34:22,C,Bijapur,Geedam
560,Geedam_Blue,Ring no.01,BINJAM,KARLI,10.048,,Low,997.0,1019.0,14,13,10.128.28.22,10.128.28.8,13203,,1,Shiva,2024-12-08 09:34:58,C,Dakshin Bastar Dantewada,Geedam
561,Geedam_Blue,Ring no.01,KARLI,HARAM,4.225,,Low,1019.0,1009.0,14,13,10.128.28.16,10.128.28.22,13204,,1,Shiva,2024-12-08 09:35:37,C,Dakshin Bastar Dantewada,Geedam
562,Geedam_Blue,Ring no.01,HARAM,Gidam,3.25,,Low,1009.0,683.0,14,89,10.128.0.26,10.128.28.16,"13205,13206",,1,Shiva,2024-12-08 09:36:33,C,Dakshin Bastar Dantewada,Geedam
563,Geedam_Blue,Ring no.02,Gidam,AALNAR,27.755,,Medium,683.0,985.0,86,13,10.128.28.1,10.128.0.26,"13193,13194,13195",,1,Shiva,2024-12-08 09:37:08,C,Dakshin Bastar Dantewada,Geedam
564,Geedam_Blue,Ring no.02,AALNAR,BANGAPAL,24.095,,Low,985.0,,14,13,10.128.28.5,10.128.28.1,"13196,13198",,1,Shiva,2024-12-08 09:38:06,C,Dakshin Bastar Dantewada,Geedam
565,Geedam_Blue,Ring no.02,BANGAPAL,BADETUMNAR,6.29,,Low,993.0,991.0,14,13,10.128.28.4,10.128.28.5,13199,,1,Shiva,2024-12-08 09:38:56,C,Dakshin Bastar Dantewada,Geedam
566,Geedam_Blue,Ring no.02,BADETUMNAR,BADESUROKHI,3.68,,Low,991.0,,14,13,10.128.28.3,10.128.28.4,13200,,1,Shiva,2024-12-10 18:45:48,C,Dakshin Bastar Dantewada,Geedam
567,Geedam_Blue,Ring no.02,BADESUROKHI,SAMLUR,6.685,,Low,989.0,1039.0,14,13,10.128.28.36,10.128.28.3,13201,,1,Shiva,2024-12-10 18:46:31,C,Dakshin Bastar Dantewada,Geedam
568,Geedam_Blue,Ring no.02,SAMLUR,HAURNAR,21.705,,Low,1039.0,1011.0,14,13,10.128.28.17,10.128.28.36,"13202,13203,13204,13205",,1,Shiva,2024-12-10 18:47:26,C,Dakshin Bastar Dantewada,Geedam
569,Geedam_Blue,Ring no.02,HAURNAR,Gidam,1.46,,High,1011.0,683.0,14,87,10.128.0.26,10.128.28.17,13206,,1,Shiva,2024-12-10 18:48:33,C,Dakshin Bastar Dantewada,Geedam
570,Geedam_Orange,Ring no.03,Gidam,BADEPANEDA,4.98,,Low,683.0,987.0,90,13,10.128.28.2,10.128.0.26,13174,,1,Shiva,2024-12-11 10:04:54,C,Dakshin Bastar Dantewada,Geedam
571,Geedam_Orange,Ring no.03,BADEPANEDA,RONJE,17.355,,Low,987.0,1037.0,14,13,10.128.28.35,10.128.28.2,"13175,13176,13177,13178",,1,Shiva,2024-12-11 10:05:37,C,Dakshin Bastar Dantewada,Geedam
574,Geedam_Orange,Ring no.03,BARSUR(NP),MUCHNAR,5.645,,Low,995.0,1029.0,14,13,10.128.28.30,10.128.28.6,13184,,1,Shiva,2024-12-11 10:07:49,C,Dakshin Bastar Dantewada,Geedam
575,Geedam_Orange,Ring no.03,MUCHNAR,CHHINDNAR,8.1,,Low,1029.0,999.0,14,13,10.128.28.11,10.128.28.30,13185,,1,Shiva,2024-12-11 10:08:38,C,Dakshin Bastar Dantewada,Geedam
576,Geedam_Orange,Ring no.03,CHHINDNAR,MOPHALNAR,15.28,,Low,999.0,1027.0,14,13,10.128.28.29,10.128.28.11,"13455,13188",,1,Shiva,2024-12-11 10:09:32,C,Dakshin Bastar Dantewada,Geedam
577,Geedam_Orange,Ring no.03,MOPHALNAR,Gidam,24.42,,Low,1027.0,683.0,14,91,10.128.0.26,10.128.28.29,13189,,1,Shiva,2024-12-11 10:10:38,C,Dakshin Bastar Dantewada,Geedam
578,Geedam_Orange,Ring no.04,Gidam,MADSE,5.45,,Low,683.0,1025.0,82,13,10.128.28.28,10.128.0.26,"13174,13175",,1,Shiva,2024-12-11 10:11:24,C,Dakshin Bastar Dantewada,Geedam
579,Geedam_Orange,Ring no.04,MADSE,NAGUL,1.815,,Low,1025.0,1033.0,14,13,10.128.28.32,10.128.28.28,13176,,1,Shiva,2024-12-11 10:12:02,C,Dakshin Bastar Dantewada,Geedam
580,Geedam_Orange,Ring no.04,NAGUL,GHOTPAL,5.485,,Low,1033.0,1003.0,14,13,10.128.28.13,10.128.28.32,13177,,1,Shiva,2024-12-11 10:13:01,C,Dakshin Bastar Dantewada,Geedam
585,Geedam_Orange,Ring no.04,GUMALNAR,Gidam,31.11,,Low,1005.0,683.0,14,83,10.128.0.26,10.128.28.14,"13188,13189",,1,Shiva,2024-12-11 10:14:31,C,Dakshin Bastar Dantewada,Geedam
588,Geedam_Orange,Ring no.03SPUR,MOPHALNAR,CHHOTETUMNAR,3.461,,Low,1027.0,1001.0,1,1,10.128.28.12,10.128.28.29,13190,,1,Shiva,2024-12-11 10:24:21,C,Dakshin Bastar Dantewada,Geedam
589,Geedam_Orange,Ring no.04SPUR,MADSE,KATULNAR,3.85,,Low,1025.0,,1,1,10.128.28.24,10.128.28.28,13192,,1,Shiva,2024-12-11 10:24:54,C,Dakshin Bastar Dantewada,Geedam
902,Jagdalpur_Blue,Ring no.01,Jagdalpur,KHAMHARGAON,5.234,,Low,1253.0,1299.0,82,13,10.128.13.32,10.128.0.13,11951,,1,Shiva,2024-12-07 15:32:44,C,Bastar,Jagdalpur
903,Jagdalpur_Blue,Ring no.01,KHAMHARGAON,MARKEL,3.811,,Low,1299.0,1327.0,14,13,10.128.13.39,10.128.13.32,11952,,1,Shiva,2024-12-07 15:33:39,C,Bastar,Jagdalpur
904,Jagdalpur_Blue,Ring no.01,MARKEL,KUMHALI,4.055,,Low,1327.0,1317.0,14,13,10.128.13.34,10.128.13.39,11953,,1,Shiva,2024-12-07 15:36:26,C,Bastar,Jagdalpur
905,Jagdalpur_Blue,Ring no.01,KUMHALI,BAMHANI,3.51,,Low,1317.0,1265.0,14,13,10.128.13.6,10.128.13.34,11954,,1,Shiva,2024-12-07 15:36:33,C,Bastar,Jagdalpur
908,Jagdalpur_Blue,Ring no.01,NAGARNAR,UPANPAL,1.605,,Low,1329.0,1359.0,14,13,10.128.13.54,10.128.13.40,11960,,1,Shiva,2024-12-07 15:41:30,C,Bastar,Jagdalpur
911,Jagdalpur_Blue,Ring no.01,CHITALOOR,Jagdalpur,27.084,,Low,1361.0,1253.0,14,83,10.128.0.13,10.128.13.59,"11964,13173,11968,11969,11970,11971,11972",,1,Shiva,2024-12-07 15:59:15,C,Bastar,Jagdalpur
912,Jagdalpur_Blue,Ring no.02,Jagdalpur,DHANPUNJI,24.39,,Low,1253.0,1281.0,84,13,10.128.13.15,10.128.0.13,"11951,11952,11953,11954,11955,11956",,1,Shiva,2024-12-07 16:02:09,C,Bastar,Jagdalpur
915,Jagdalpur_Blue,Ring no.02,MADPAL,GARAWAND KHURD,4.785,,Low,1323.0,1285.0,14,13,10.128.13.17,10.128.13.37,11965,,1,Shiva,2024-12-07 16:08:39,C,Bastar,Jagdalpur
918,Jagdalpur_Blue,Ring no.02,TURENAR,GARAWAND KALAN,2.115,,Low,1353.0,1287.0,14,13,10.128.13.55,10.128.13.51,11968,,1,Shiva,2024-12-07 16:14:26,C,Bastar,Jagdalpur
919,Jagdalpur_Blue,Ring no.02,GARAWAND KALAN,DHURGUDA,1.78,,Low,1287.0,1283.0,14,13,10.128.13.16,10.128.13.55,11969,,1,Shiva,2024-12-07 16:15:20,C,Bastar,Jagdalpur
920,Jagdalpur_Blue,Ring no.02,DHURGUDA,BABUSEMHRA,3.99,,Low,1283.0,,14,13,10.128.13.3,10.128.13.16,11970,,1,Shiva,2024-12-07 16:16:03,C,Bastar,Jagdalpur
921,Jagdalpur_Blue,Ring no.02,BABUSEMHRA,HALBAKACHORA,2.48,,Low,1259.0,1291.0,14,13,10.128.13.19,10.128.13.3,11971,,1,Shiva,2024-12-07 16:17:38,C,Bastar,Jagdalpur
