router_ip,ups_ip
10.128.0.26,10.131.0.102
10.128.28.1,10.131.28.170
10.128.28.2,10.131.28.174
10.128.28.4,10.131.28.182
10.128.28.6,10.131.28.190
10.128.28.8,10.131.28.198
10.128.28.11,10.131.28.210
10.128.28.13,10.131.28.218
10.128.28.15,10.131.28.226
10.128.28.16,10.131.28.230
10.128.28.17,10.131.28.234
10.128.28.18,10.131.28.238
10.128.28.22,10.131.28.254
10.128.28.23,10.131.29.2
10.128.28.28,10.131.29.22
10.128.28.29,10.131.29.26
10.128.28.30,10.131.29.30
10.128.28.32,10.131.29.38
10.128.28.34,10.131.29.46
10.128.28.35,10.131.29.50
10.128.28.36,10.131.29.54
10.128.28.38,10.131.29.62
10.128.28.39,10.131.96.42
10.128.28.20,10.131.28.246
10.128.0.13,10.131.0.50
10.128.13.1,10.131.13.218
10.128.0.13,10.131.13.222
10.128.13.4,10.131.13.230
10.128.13.5,10.131.13.234
10.128.13.6,10.131.13.238
10.128.13.7,10.131.13.242
10.128.13.8,10.131.13.246
10.128.13.9,10.131.13.250
10.128.13.11,10.131.14.2
10.128.13.12,10.131.14.6
10.128.13.13,10.131.14.10
10.128.13.14,10.131.14.14
10.128.13.15,10.131.14.18
10.128.13.16,10.131.14.22
10.128.13.17,10.131.14.26
10.128.13.55,10.131.14.30
10.128.13.18,10.131.14.34
10.128.13.19,10.131.14.42
10.128.13.20,10.131.14.46
10.128.13.21,10.131.14.50
10.128.13.22,10.131.14.54
10.128.13.32,10.131.14.94
10.128.13.23,10.131.14.58
10.128.13.24,10.131.14.62
10.128.13.25,10.131.14.66
10.128.13.27,10.131.14.74
10.128.13.28,10.131.14.78
10.128.13.29,10.131.14.82
10.128.13.30,10.131.14.86
10.128.13.33,10.131.14.98
10.128.13.34,10.131.14.102
10.128.13.35,10.131.14.106
10.128.13.36,10.131.14.110
10.128.13.37,10.131.14.114
10.128.13.38,10.131.14.118
10.128.13.39,10.131.14.122
10.128.13.40,10.131.14.126
10.128.13.41,10.131.14.130
10.128.13.42,10.131.14.134
10.128.13.43,10.131.14.138
10.128.13.44,10.131.14.142
10.128.13.45,10.131.14.146
10.128.13.46,10.131.14.150
10.128.13.47,10.131.14.154
10.128.13.49,10.131.14.162
10.128.13.57,10.131.14.166
10.128.13.50,10.131.14.170
10.128.13.58,10.131.14.174
10.128.13.51,10.131.14.178
10.128.13.52,10.131.14.182
10.128.13.53,10.131.14.186
10.128.13.54,10.131.14.190
10.128.0.13,10.131.97.42
10.128.0.49,10.131.0.194
10.128.53.1,10.131.52.202
10.128.53.2,10.131.52.206
10.128.54.33,10.131.54.6
10.128.54.16,10.131.53.194
10.128.53.3,10.131.52.210
10.128.53.6,10.131.52.222
10.128.54.35,10.131.54.14
10.128.54.18,10.131.53.202
10.128.0.50,10.131.0.198
10.128.53.7,10.131.52.226
10.128.54.36,10.131.54.18
10.128.0.50,10.131.53.206
10.128.54.1,10.131.53.134
10.128.53.9,10.131.52.234
10.128.54.37,10.131.54.22
10.128.54.20,10.131.53.210
10.128.54.2,10.131.53.138
10.128.54.38,10.131.54.26
10.128.53.10,10.131.52.238
10.128.54.21,10.131.53.214
10.128.54.3,10.131.53.142
10.128.54.39,10.131.54.30
10.128.53.14,10.131.52.254
10.128.54.22,10.131.53.218
10.128.54.41,10.131.54.38
10.128.54.4,10.131.53.146
10.128.53.15,10.131.53.2
10.128.54.42,10.131.54.42
10.128.54.23,10.131.53.222
10.128.0.50,10.131.53.150
10.128.54.43,10.131.54.46
10.128.54.24,10.131.53.226
10.128.53.18,10.131.53.14
10.128.54.44,10.131.54.50
10.128.54.25,10.131.53.230
10.128.54.45,10.131.54.54
10.128.53.24,10.131.53.38
10.128.54.26,10.131.53.234
10.128.54.6,10.131.53.154
10.128.54.46,10.131.54.58
10.128.54.28,10.131.53.242
10.128.54.47,10.131.54.62
10.128.54.7,10.131.53.158
10.128.53.26,10.131.53.46
10.128.54.29,10.131.53.246
10.128.54.48,10.131.54.66
10.128.54.30,10.131.53.250
10.128.53.27,10.131.53.50
10.128.10.70,10.131.53.182
10.128.54.8,10.131.53.162
10.128.54.31,10.131.53.254
10.128.53.31,10.131.53.66
10.128.54.32,10.131.54.2
10.128.54.9,10.131.53.166
10.128.54.10,10.131.53.170
10.128.53.33,10.131.53.74
10.128.54.11,10.131.53.174
10.128.54.12,10.131.53.178
10.128.53.35,10.131.53.82
10.128.53.36,10.131.53.86
10.128.54.14,10.131.53.186
10.128.54.15,10.131.53.190
10.128.53.39,10.131.53.98
10.128.53.41,10.131.53.106
10.128.53.42,10.131.53.110
10.128.53.43,10.131.53.114
10.128.53.45,10.131.53.122
10.128.53.47,10.131.53.130
10.128.13.60,10.131.106.226
10.128.13.61,10.131.106.230
10.128.0.85,10.131.1.82
10.128.94.14,10.131.92.230
10.128.94.2,10.131.92.182
10.128.94.15,10.131.92.234
10.128.0.85,10.131.93.38
10.128.94.31,10.131.93.42
10.128.94.16,10.131.92.238
10.128.94.32,10.131.93.46
10.128.94.3,10.131.92.186
10.128.94.17,10.131.92.242
10.128.94.33,10.131.93.50
10.128.0.85,10.131.92.190
10.128.94.18,10.131.92.246
10.128.94.35,10.131.93.58
10.128.94.5,10.131.92.194
10.128.94.36,10.131.93.62
10.128.94.19,10.131.92.250
10.128.94.37,10.131.93.66
10.128.94.20,10.131.92.254
10.128.94.6,10.131.92.198
10.128.94.38,10.131.101.158
10.128.94.22,10.131.93.6
10.128.94.39,10.131.101.162
10.128.94.24,10.131.93.14
10.128.94.40,10.131.101.166
10.128.94.25,10.131.93.18
10.128.94.7,10.131.92.202
10.128.94.42,10.131.109.122
10.128.94.27,10.131.93.26
10.128.94.8,10.131.92.206
10.128.94.43,10.131.109.126
10.128.94.10,10.131.92.214
10.128.94.28,10.131.93.30
10.128.94.11,10.131.92.218
10.128.0.85,10.131.109.118
10.128.94.29,10.131.93.34
10.128.94.12,10.131.92.222
10.128.11.1,10.131.12.242
10.128.94.13,10.131.92.226
