id,ringname,ringnum,ringcolor,segmentid,aendname,bendname,isspur,isjc,aendid,bendid,aendip,bendip,color,logtime,aendxy,bendxy,bypass,bypassgp,bypass_lrdata
2852,BERLA_Pink,,,12993,BERLA,TARALIM,0,0,2511,3052,10.128.0.16,10.128.17.82,Green,2025-03-18 13:16:53,349;-2331,550;-2279,0,,
2853,BERLA_Pink,,,12994,TARALIM,LENGVARA,0,0,3052,2813,10.128.17.82,10.128.17.58,Green,2025-03-18 13:16:53,550;-2279,732;-2177,0,,
2854,BERLA_Pink,,,12995,LENGVARA,SARDA,0,0,2813,2788,10.128.17.58,10.128.17.72,Green,2025-03-18 13:16:53,732;-2177,915;-2063,0,,
2855,BERLA_Pink,,,12996,SARDA,BHATGAON,0,0,2788,2760,10.128.17.72,10.128.17.14,Green,2025-03-18 13:16:53,915;-2063,1039;-1942,0,,
2856,BERLA_Pink,,,12997,BHATGAON,BAWANLAKH,0,0,2760,2752,10.128.17.14,10.128.17.86,Green,2025-03-18 13:16:53,1039;-1942,1133;-1777,0,,
2857,BERLA_Pink,,,12998,BAWANLAKH,BAHINGA,0,0,2752,2799,10.128.17.86,10.128.17.5,Green,2025-03-18 13:16:53,1133;-1777,1225;-1627,0,,
2858,BERLA_Pink,,,12999,BAHINGA,BEHARGHAT,0,0,2799,2746,10.128.17.5,10.128.17.87,Green,2025-03-18 13:16:53,1225;-1627,1244;-1436,0,,
2859,BERLA_Pink,,,13000,BEHARGHAT,DANGANIYA B,0,0,2746,2781,10.128.17.87,10.128.17.24,Green,2025-03-18 13:16:53,1244;-1436,1206;-1213,0,,
2860,BERLA_Pink,,,13001,DANGANIYA B,SANDI,0,0,2781,2794,10.128.17.24,10.128.17.70,Green,2025-03-18 13:16:53,1206;-1213,1104;-1023,0,,
2861,BERLA_Pink,,,13002,SANDI,SALDHA,0,0,2794,2803,10.128.17.70,10.128.17.69,Green,2025-03-18 13:16:53,1104;-1023,968;-882,0,,
2862,BERLA_Pink,,,13003,SALDHA,BHEDANI,0,0,2803,2766,10.128.17.69,10.128.17.16,Green,2025-03-18 13:16:53,968;-882,808;-709,0,,
2863,BERLA_Pink,,,13004,BHEDANI,GHOTMARRA,0,0,2766,2773,10.128.17.16,10.128.17.33,Green,2025-03-18 13:16:53,808;-709,614;-616,0,,
2864,BERLA_Pink,,,13005,GHOTMARRA,DEVARBIJA,0,0,2773,2758,10.128.17.33,10.128.17.27,Green,2025-03-18 13:16:53,614;-616,401;-573,0,,
2865,BERLA_Pink,,,13006,DEVARBIJA,SINGHOURI,0,0,2758,2779,10.128.17.27,10.128.17.75,Green,2025-03-18 13:16:53,401;-573,170;-594,0,,
