id,ringname,ringnum,ringcolor,segmentid,aendname,bendname,isspur,isjc,aendid,bendid,aendip,bendip,color,logtime,aendxy,bendxy,bypass,bypassgp,bypass_lrdata
1289,Jagdalpur_Blue,,,11951,Jagdalpur,KHAMHARGAON,0.0,0.0,1253,1299,10.128.0.13,10.128.13.32,Green,2025-03-18 14:31:28,-130;-1129,130;-1056,0,,
1290,Jagdalpur_Blue,,,11952,KHAMHARGAON,MARKEL,0.0,0.0,1299,1327,10.128.13.32,10.128.13.39,Green,2025-03-18 14:31:28,130;-1056,364;-970,0,,
1291,Jagdalpur_Blue,,,11953,MARKEL,KUMHALI,0.0,0.0,1327,1317,10.128.13.39,10.128.13.34,Unknown,2025-03-18 14:31:28,364;-970,497;-857,0,,
1292,Jagdalpur_Blue,,,11954,KUMHALI,BAMHANI,0.0,0.0,1317,1265,10.128.13.34,10.128.13.6,Unknown,2025-03-18 14:31:28,497;-857,571;-721,0,,
1293,Jagdalpur_Blue,,,11955,BAMHANI,CHOKAWADA,0.0,0.0,1265,1277,10.128.13.6,10.128.13.13,Unknown,2025-03-18 14:31:28,571;-721,629;-546,0,,
1294,Jagdalpur_Blue,,,11956,CHOKAWADA,DHANPUNJI,0.0,0.0,1277,1281,10.128.13.13,10.128.13.15,Unknown,2025-03-18 14:31:28,629;-546,655;-375,0,,
1295,Jagdalpur_Blue,,,11957,DHANPUNJI,KASTURI,0.0,0.0,1281,1311,10.128.13.15,10.128.13.29,Green,2025-03-18 14:31:28,655;-375,623;-168,1,KASTURI,Ring no.02::DHANPUNJI::MADPAL
1296,Jagdalpur_Blue,,,11958,KASTURI,NAGARNAR,0.0,0.0,1311,1329,10.128.13.29,10.128.13.40,Green,2025-03-18 14:31:28,623;-168,559;5,1,KASTURI,Ring no.02::DHANPUNJI::MADPAL
1297,Jagdalpur_Blue,,,11959,NAGARNAR,BHEJAPADAR,1.0,0.0,1329,1267,10.128.13.40,10.128.13.7,Unknown,2025-03-18 14:31:28,559;5,723;204,0,,
1298,Jagdalpur_Blue,,,11960,NAGARNAR,UPANPAL,0.0,0.0,1329,1359,10.128.13.40,10.128.13.54,Green,2025-03-18 14:31:28,559;5,370;206,0,,
1299,Jagdalpur_Blue,,,11961,UPANPAL,MADPAL,0.0,0.0,1359,1323,10.128.13.54,10.128.13.37,Green,2025-03-18 14:31:28,370;206,77;261,0,,
1300,Jagdalpur_Blue,,,11962,MADPAL,KARANPUR,0.0,0.0,1323,1309,10.128.13.37,10.128.13.28,Green,2025-03-18 14:31:28,77;261,17;388,1,KARANPUR,Ring no.01::UPANPAL::CHITALOOR
1301,Jagdalpur_Blue,,,11963,KARANPUR,CHITALOOR,0.0,0.0,1309,1361,10.128.13.28,10.128.13.59,Green,2025-03-18 14:31:28,17;388,-151;386,1,KARANPUR,Ring no.01::UPANPAL::CHITALOOR
1302,Jagdalpur_Blue,,,11964,CHITALOOR,GARAWAND KHURD,0.0,0.0,1361,1285,10.128.13.59,10.128.13.17,Green,2025-03-18 14:31:28,-151;386,-269;207,0,,
1303,Jagdalpur_Blue,,,11965,GARAWAND KHURD,MADPAL,0.0,0.0,1285,1323,10.128.13.17,10.128.13.37,Unknown,2025-03-18 14:31:28,-269;207,77;261,0,,
1304,Jagdalpur_Blue,,,11966,GARAWAND KHURD,KALCHA,0.0,0.0,1285,1305,10.128.13.17,10.128.13.25,Green,2025-03-18 14:31:28,-269;207,-577;76,1,KALCHA,Ring no.02::GARAWAND KHURD::TURENAR
1305,Jagdalpur_Blue,,,11967,KALCHA,TURENAR,0.0,0.0,1305,1353,10.128.13.25,10.128.13.51,Green,2025-03-18 14:31:28,-577;76,-741;-123,1,KALCHA,Ring no.02::GARAWAND KHURD::TURENAR
1306,Jagdalpur_Blue,,,11968,TURENAR,GARAWAND KALAN,0.0,0.0,1353,1287,10.128.13.51,10.128.13.55,Green,2025-03-18 14:31:28,-741;-123,-791;-363,0,,
