id,ringname,ringnum,ringcolor,segmentid,aendname,bendname,isspur,isjc,aendid,bendid,aendip,bendip,color,logtime,aendxy,bendxy,bypass,bypassgp,bypass_lrdata
1184,BERLA_Blue,,,102,BERLA,BORIYA,0,0,2511,2518,10.128.0.16,10.128.17.19,,2024-12-31 14:25:42,-27;-654,146;-599,0,,
1185,BERLA_Blue,,,103,BORIYA,CHANDI,0,0,2518,2536,10.128.17.19,10.128.17.21,,2024-12-31 14:25:42,146;-599,294;-539,1,CHANDI,Ring no.01::BORIYA::GHATIYAKALA
1186,BERLA_Blue,,,104,CHANDI,GHATIYAKALA,0,0,2536,2581,10.128.17.21,10.128.17.32,,2024-12-31 14:25:42,294;-539,463;-464,1,CHANDI,Ring no.01::BORIYA::GHATIYAKALA
1187,BERLA_Blue,,,105,GHATIYAKALA,GODGIRI,0,0,2581,2602,10.128.17.32,10.128.17.34,,2024-12-31 14:25:42,463;-464,593;-329,0,,
1188,BERLA_Blue,,,106,GODGIRI,TILAI,0,0,2602,2647,10.128.17.34,10.128.17.84,,2024-12-31 14:25:42,593;-329,672;-557,0,,
1189,BERLA_Blue,,,107,TILAI,CHANDI,0,0,2647,2536,10.128.17.84,10.128.17.21,,2024-12-31 14:25:42,672;-557,294;-539,1,CHANDI,Ring no.01::BORIYA::GHATIYAKALA
1190,BERLA_Blue,,,108,GODGIRI,GADAMOR,0,0,2602,2559,10.128.17.34,10.128.17.31,,2024-12-31 14:25:42,593;-329,655;-188,0,,
1191,BERLA_Blue,,,109,GADAMOR,UFARA,0,0,2559,2590,10.128.17.31,10.128.17.85,,2024-12-31 14:25:42,655;-188,869;-137,0,,
1192,BERLA_Blue,,,110,UFARA,BORSI,0,0,2590,2530,10.128.17.85,10.128.17.20,,2024-12-31 14:25:42,869;-137,847;58,0,,
1193,BERLA_Blue,,,111,BORSI,BERLAKALA,0,0,2530,2531,10.128.17.20,10.128.17.9,,2024-12-31 14:25:42,847;58,577;229,0,,
1194,BERLA_Blue,,,112,BERLAKALA,GUDHELI,0,0,2531,2613,10.128.17.9,10.128.17.35,,2024-12-31 14:25:42,577;229,616;71,0,,
1195,BERLA_Blue,,,113,GUDHELI,KOHDIYA,0,0,2613,2696,10.128.17.35,10.128.17.53,,2024-12-31 14:25:42,616;71,669;-45,0,,
1196,BERLA_Blue,,,114,KOHDIYA,GADAMOR,0,0,2696,2559,10.128.17.53,10.128.17.31,,2024-12-31 14:25:42,669;-45,655;-188,0,,
1197,BERLA_Blue,,,115,BERLAKALA,KANDARKA,0,0,2531,2633,10.128.17.9,10.128.17.41,,2024-12-31 14:25:42,577;229,470;352,0,,
1198,BERLA_Blue,,,116,KANDARKA,BHALESHAR,0,0,2633,2475,10.128.17.41,10.128.17.10,,2024-12-31 14:25:42,470;352,357;475,0,,
1199,BERLA_Blue,,,117,BHALESHAR,HARDI,0,0,2475,2626,10.128.17.10,10.128.17.36,,2024-12-31 14:25:42,357;475,158;550,0,,
1200,BERLA_Blue,,,118,HARDI,PIRDA,0,0,2626,2674,10.128.17.36,10.128.17.65,,2024-12-31 14:25:42,158;550,-69;575,0,,
1201,BERLA_Blue,,,119,PIRDA,BHIMBHOURI,0,0,2674,2504,10.128.17.65,10.128.17.18,,2024-12-31 14:25:42,-69;575,-288;540,1,BHIMBHOURI,Ring no.02::PIRDA::BHARDA
1202,BERLA_Blue,,,120,BHIMBHOURI,DHABA,0,0,2504,2543,10.128.17.18,10.128.17.29,,2024-12-31 14:25:42,-288;540,-497;460,1,BHIMBHOURI,Ring no.02::PIRDA::BHARDA
1203,BERLA_Blue,,,121,DHABA,SILGHATT,0,0,2543,2655,10.128.17.29,10.128.17.73,,2024-12-31 14:25:42,-497;460,-654;360,0,,
1204,BERLA_Blue,,,122,SILGHATT,LAWATARA,0,0,2655,2576,10.128.17.73,10.128.17.89,,2024-12-31 14:25:42,-654;360,-751;184,0,,
1205,BERLA_Blue,,,123,LAWATARA,BHARDA,0,0,2576,2498,10.128.17.89,10.128.17.13,,2024-12-31 14:25:42,-751;184,-769;28,0,,
1206,BERLA_Blue,,,124,BHARDA,MUDPAR KALAN,0,0,2498,2522,10.128.17.13,10.128.17.90,,2024-12-31 14:25:42,-769;28,-742;-172,0,,
1207,BERLA_Blue,,,125,MUDPAR KALAN,BARGAON,0,0,2522,2664,10.128.17.90,10.128.17.7,,2024-12-31 14:25:42,-742;-172,-654;-311,0,,
1208,BERLA_Blue,,,126,BARGAON,KUMHI,0,0,2664,2584,10.128.17.7,10.128.17.88,,2024-12-31 14:25:42,-654;-311,-567;-475,0,,
1209,BERLA_Blue,,,127,KUMHI,KHARRA,0,0,2584,2704,10.128.17.88,10.128.17.46,,2024-12-31 14:25:42,-567;-475,-434;-538,0,,
1210,BERLA_Blue,,,128,KHARRA,KUSMI,0,0,2704,2684,10.128.17.46,10.128.17.56,,2024-12-31 14:25:42,-434;-538,-300;-600,0,,
1211,BERLA_Blue,,,129,KUSMI,BHAND,0,0,2684,2486,10.128.17.56,10.128.17.11,,2024-12-31 14:25:42,-300;-600,-169;-635,0,,
1212,BERLA_Blue,,,130,BHAND,BERLA,0,0,2486,2511,10.128.17.11,10.128.0.16,,2024-12-31 14:25:42,-169;-635,-27;-654,0,,
1213,BERLA_Blue,,,131,BHIMBHOURI,KHUDMUDI,1,0,2504,2699,10.128.17.18,10.128.17.49,,2024-12-31 14:25:42,-288;540,-272;733,0,,

